"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other and unspecified water transport accidents, other powered watercraft, hovercraft (on open water), or jet skis"	"V94.3"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other and unspecified water transport accidents, canoe or kayak"	"V94.5"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other and unspecified water transport accidents, inflatable craft (nonpowered)"	"V94.6"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other and unspecified water transport accidents, water-skis"	"V94.7"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other and unspecified water transport accidents, other unpowered watercraft, surf-board, or windsurfer"	"V94.8"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other and unspecified water transport accidents, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V94.9"	10	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Helicopter accident injuring occupant"	"V95.0"	10	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Ultralight, microlight or powered-glider accident injuring occupant"	"V95.1"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Accident to other private fixed-wing aircraft, injuring occupant"	"V95.2"	6	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Accident to commercial fixed-wing aircraft, injuring occupant"	"V95.3"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Other aircraft accidents injuring occupant"	"V95.8"	6	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Unspecified aircraft accident injuring occupant"	"V95.9"	83	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Balloon accident injuring occupant"	"V96.0"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Hang-glider accident injuring occupant"	"V96.1"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Parachutist injured in air transport accident"	"V97.2"	5	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	"Unspecified transport accident"	"V99"	2	83256835	Unreliable
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"			11550	83256835	13.9
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall on same level involving ice and snow"	"W00"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall on same level from slipping, tripping and stumbling"	"W01"	16	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall involving ice-skates, skis, roller-skates or skateboards"	"W02"	20	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall involving wheelchair"	"W05"	12	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall involving bed"	"W06"	15	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall involving chair"	"W07"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall involving other furniture"	"W08"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall involving playground equipment"	"W09"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall on and from stairs and steps"	"W10"	226	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall on and from ladder"	"W11"	74	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall on and from scaffolding"	"W12"	12	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall from, out of or through building or structure"	"W13"	137	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall from tree"	"W14"	16	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Fall from cliff"	"W15"	29	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Diving or jumping into water causing injury other than drowning or submersion"	"W16"	21	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Other fall from one level to another"	"W17"	127	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Other fall on same level"	"W18"	368	83256835	0.4
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Unspecified fall"	"W19"	667	83256835	0.8
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Struck by thrown, projected or falling object"	"W20"	194	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Striking against or struck by sports equipment"	"W21"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Striking against or struck by other objects"	"W22"	38	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	29	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	30	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with sharp glass"	"W25"	13	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with knife, sword or dagger"	"W26"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with powered lawnmower"	"W28"	10	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with other powered hand tools and household machinery"	"W29"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with agricultural machinery"	"W30"	41	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with other and unspecified machinery"	"W31"	106	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Handgun discharge"	"W32"	16	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Rifle, shotgun and larger firearm discharge"	"W33"	13	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Discharge from other and unspecified firearms"	"W34"	67	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Explosion and rupture of gas cylinder"	"W36"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Explosion and rupture of pressurized tyre, pipe or hose"	"W37"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Explosion and rupture of other specified pressurized devices"	"W38"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Discharge of firework"	"W39"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Explosion of other materials"	"W40"	24	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Foreign body entering into or through eye or natural orifice"	"W44"	9	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Foreign body or object entering through skin"	"W45"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to other and unspecified inanimate mechanical forces"	"W49"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Striking against or bumped into by another person"	"W51"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Bitten or struck by dog"	"W54"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Bitten or struck by other mammals"	"W55"	16	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Bitten or stung by nonvenomous insect and other nonvenomous arthropods"	"W57"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to other and unspecified animate mechanical forces"	"W64"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Drowning and submersion while in bath-tub"	"W65"	97	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Drowning and submersion following fall into bath-tub"	"W66"	5	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Drowning and submersion while in swimming-pool"	"W67"	104	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Drowning and submersion following fall into swimming-pool"	"W68"	5	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Drowning and submersion while in natural water"	"W69"	438	83256835	0.5
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Drowning and submersion following fall into natural water"	"W70"	58	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Other specified drowning and submersion"	"W73"	35	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Unspecified drowning and submersion"	"W74"	132	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental suffocation and strangulation in bed"	"W75"	9	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Other accidental hanging and strangulation"	"W76"	50	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Threat to breathing due to cave-in, falling earth and other substances"	"W77"	6	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Inhalation of gastric contents"	"W78"	35	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	188	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	221	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Other specified threats to breathing"	"W83"	16	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Unspecified threat to breathing"	"W84"	152	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to electric transmission lines"	"W85"	35	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to other specified electric current"	"W86"	25	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to unspecified electric current"	"W87"	57	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to high and low air pressure and changes in air pressure"	"W94"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to uncontrolled fire in building or structure"	"X00"	467	83256835	0.6
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to uncontrolled fire, not in building or structure"	"X01"	9	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to controlled fire in building or structure"	"X02"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to controlled fire, not in building or structure"	"X03"	8	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to ignition of highly flammable material"	"X04"	12	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to ignition or melting of other clothing and apparel"	"X06"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to other specified smoke, fire and flames"	"X08"	10	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to unspecified smoke, fire and flames"	"X09"	36	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with hot tap-water"	"X11"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with other hot fluids"	"X12"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with hot air and gases"	"X14"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with hot household appliances"	"X15"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with hot heating appliances, radiators and pipes"	"X16"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with other and unspecified heat and hot substances"	"X19"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with venomous snakes and lizards"	"X20"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with venomous spiders"	"X21"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with hornets, wasps and bees"	"X23"	23	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with other specified venomous arthropods"	"X25"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Contact with unspecified venomous animal or plant"	"X29"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to excessive natural heat"	"X30"	106	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to excessive natural cold"	"X31"	161	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Victim of lightning"	"X33"	12	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Victim of avalanche, landslide and other earth movements"	"X36"	10	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Victim of cataclysmic storm"	"X37"	14	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Victim of flood"	"X38"	11	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to other and unspecified forces of nature"	"X39"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	98	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	2421	83256835	2.9
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11525	83256835	13.8
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X43"	9	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11032	83256835	13.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to alcohol"	"X45"	1181	83256835	1.4
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X46"	21	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to other gases and vapours"	"X47"	340	83256835	0.4
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to pesticides"	"X48"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X49"	86	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Overexertion and strenuous or repetitive movements"	"X50"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Travel and motion"	"X51"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Lack of food"	"X53"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Unspecified privation"	"X57"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to other specified factors"	"X58"	22	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to unspecified factor causing fracture"	"X59.0"	41	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	"Exposure to unspecified factor causing other and unspecified injury"	"X59.9"	540	83256835	0.6
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"			32301	83256835	38.8
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	65	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	500	83256835	0.6
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	236	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	17	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	1381	83256835	1.7
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	19	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	43	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	591	83256835	0.7
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	24	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	4311	83256835	5.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by drowning and submersion"	"X71"	168	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by handgun discharge"	"X72"	1831	83256835	2.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	941	83256835	1.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	4200	83256835	5.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by explosive material"	"X75"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by smoke, fire and flames"	"X76"	70	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by sharp object"	"X78"	332	83256835	0.4
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by jumping from a high place"	"X80"	352	83256835	0.4
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by jumping or lying before moving object"	"X81"	218	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by crashing of motor vehicle"	"X82"	65	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by other specified means"	"X83"	31	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	"Intentional self-harm by unspecified means"	"X84"	37	83256835	0.0
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"			15440	83256835	18.5
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by drugs, medicaments and biological substances"	"X85"	29	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by gases and vapours"	"X88"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by other specified chemicals and noxious substances"	"X89"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by hanging, strangulation and suffocation"	"X91"	172	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by drowning and submersion"	"X92"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by handgun discharge"	"X93"	273	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	187	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by other and unspecified firearm discharge"	"X95"	3515	83256835	4.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by smoke, fire and flames"	"X97"	34	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by steam, hot vapours and hot objects"	"X98"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by sharp object"	"X99"	619	83256835	0.7
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by blunt object"	"Y00"	21	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by pushing from high place"	"Y01"	5	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by pushing or placing victim before moving object"	"Y02"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by crashing of motor vehicle"	"Y03"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by bodily force"	"Y04"	53	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"By unspecified person"	"Y06.9"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"By unspecified person"	"Y07.9"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by other specified means"	"Y08"	41	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	"Assault by unspecified means"	"Y09"	445	83256835	0.5
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"			5422	83256835	6.5
